ID,Qm
BD_0000001,635565.065747472
CN_0000181,27565.7870233292
CN_0000189,23437.2894400782
CN_0000190,351336.446383684
CN_0000194,48812.6845104886
ID_0000024,5644.8412691148
IN_0000062,10706.0363374273
IN_0000074,3551.07110528313
IN_0000099,14499.4105176575
IN_0000117,4653.60491338438
JP_0000018,7501.5097244801
JP_0000167,2111.45716950259
JP_0000367,6670.7572023163
JP_0000446,2997.05869115386
JP_0000759,1634.18600864084
JP_0000996,2779.87087204269
JP_0001014,3365.67810976919
JP_0001023,1930.88321744112
KG_0000005,11776.858285406
KH_0000002,455277.745105817
KR_0000005,2841.81336982349
KZ_0000002,9418.40856934387
LA_0000001,3051.31540284787
LA_0000002,122943.047488238
LA_0000005,141218.863061095
LA_0000014,311302.429680614
MN_0000002,1571.39044234882
PH_0000006,2002.32909714953
RU_0000036,259759.907863241
RU_0000043,29832.5244791489
RU_0000054,33224.1594522426
RU_0000397,8261.76473528229
RU_0000398,3997.29501037774
RU_0000400,3414.43899632457
RU_0000401,3011.67131054272
RU_0000408,8571.77823241274
RU_0000411,23791.645146476
TH_0000003,2905.02078110409
TH_0000041,1805.16428569231
TH_0000134,84770.7004266731
TH_0000156,245407.677210545
TH_0000163,20176.5406520837
TH_0000178,22979.3928571206
TJ_0000003,10224.8955807091
CN_0000180,907260.250256419
CN_0000191,713361.595958346
CN_0000192,641710.832687532
CN_0000195,446936.313008808
PK_0000001,33896.5706754676
KR_0000006,2221.4180769069
IN_0000110,27243.6013127005
TH_0000154,233933.473158364
KH_0000004,412737.511286765
IN_0000075,2538.5073261302
