year,Qa,ID,country
1973,147.0442849,IN_0000074,IN
1974,64.28324932,IN_0000074,IN
1975,149.057211,IN_0000074,IN
1976,150.7229563,IN_0000074,IN
1977,167.6893205,IN_0000074,IN
1978,189.1768164,IN_0000074,IN
1979,121.9461671,IN_0000074,IN
1980,164.4250765,IN_0000074,IN
1981,97.15486027,IN_0000074,IN
1982,95.21368767,IN_0000074,IN
1983,106.0132411,IN_0000074,IN
1984,145.996347,IN_0000074,IN
1985,142.6601425,IN_0000074,IN
1986,120.3738712,IN_0000074,IN
1987,70.91410959,IN_0000074,IN
1988,82.8440765,IN_0000074,IN
1989,116.5873671,IN_0000074,IN
1990,225.9182712,IN_0000074,IN
1991,153.3895945,IN_0000074,IN
1992,140.7367923,IN_0000074,IN
1993,99.23369589,IN_0000074,IN
1994,187.653463,IN_0000074,IN
1995,120.5261425,IN_0000074,IN
1996,69.76906011,IN_0000074,IN
1997,95.33114247,IN_0000074,IN
1998,51.21626027,IN_0000074,IN
1999,84.03791507,IN_0000074,IN
2000,63.76259016,IN_0000074,IN
2001,121.2183918,IN_0000074,IN
2002,37.12100274,IN_0000074,IN
2003,102.3846137,IN_0000074,IN
2004,75.59421585,IN_0000074,IN
2005,56.86241644,IN_0000074,IN
2006,112.4078411,IN_0000074,IN
2007,98.71607945,IN_0000074,IN
2008,60.10659836,IN_0000074,IN
2009,42.50509315,IN_0000074,IN
2010,89.22036438,IN_0000074,IN
2011,40.14398904,IN_0000074,IN
2012,76.72908197,IN_0000074,IN
1965,,IN_0000075,IN
1966,64.04624932,IN_0000075,IN
1967,99.01873151,IN_0000075,IN
1968,93.92724317,IN_0000075,IN
1969,114.6220137,IN_0000075,IN
1970,112.9075342,IN_0000075,IN
1971,87.50455068,IN_0000075,IN
1972,85.41762022,IN_0000075,IN
1973,121.8563315,IN_0000075,IN
1974,52.61596986,IN_0000075,IN
1975,88.66828767,IN_0000075,IN
1976,99.94949727,IN_0000075,IN
1977,126.8341342,IN_0000075,IN
1978,138.3595151,IN_0000075,IN
1979,75.78933973,IN_0000075,IN
1980,116.7364317,IN_0000075,IN
1981,80.01090411,IN_0000075,IN
1982,78.3828,IN_0000075,IN
1983,77.76568219,IN_0000075,IN
1984,125.865347,IN_0000075,IN
1985,100.2494986,IN_0000075,IN
1986,92.01892055,IN_0000075,IN
1987,64.12523562,IN_0000075,IN
1988,56.13575956,IN_0000075,IN
1989,87.62747123,IN_0000075,IN
1990,177.1529014,IN_0000075,IN
1991,128.8232849,IN_0000075,IN
1992,119.7776967,IN_0000075,IN
1993,90.1802274,IN_0000075,IN
1994,184.309874,IN_0000075,IN
1995,111.2734849,IN_0000075,IN
1996,49.33795902,IN_0000075,IN
1997,102.5106219,IN_0000075,IN
1998,40.84358904,IN_0000075,IN
1999,45.18276712,IN_0000075,IN
2000,50.8544071,IN_0000075,IN
2001,63.68931233,IN_0000075,IN
2002,14.5885863,IN_0000075,IN
2003,52.3832507,IN_0000075,IN
2004,31.30119126,IN_0000075,IN
2005,24.44826027,IN_0000075,IN
2006,71.24809315,IN_0000075,IN
2007,51.58003288,IN_0000075,IN
2008,24.84133333,IN_0000075,IN
2009,21.96932877,IN_0000075,IN
2010,37.66587123,IN_0000075,IN
2011,19.82925205,IN_0000075,IN
2012,29.06395082,IN_0000075,IN
1965,,IN_0000099,IN
1966,485.2245315,IN_0000099,IN
1967,473.622537,IN_0000099,IN
1968,343.5022978,IN_0000099,IN
1969,562.4591562,IN_0000099,IN
1970,471.5592849,IN_0000099,IN
1971,324.4249233,IN_0000099,IN
1972,330.8081639,IN_0000099,IN
1973,372.2416932,IN_0000099,IN
1974,211.2894712,IN_0000099,IN
1975,523.5877096,IN_0000099,IN
1976,465.9533224,IN_0000099,IN
1977,428.297337,IN_0000099,IN
1978,589.7587808,IN_0000099,IN
1979,376.2043973,IN_0000099,IN
1980,530.6756011,IN_0000099,IN
1981,419.5213315,IN_0000099,IN
1982,434.0420356,IN_0000099,IN
1983,518.0481479,IN_0000099,IN
1984,505.764735,IN_0000099,IN
1985,409.3924466,IN_0000099,IN
1986,634.8425425,IN_0000099,IN
1987,264.7183863,IN_0000099,IN
1988,367.2207732,IN_0000099,IN
1989,436.5916438,IN_0000099,IN
1990,758.8028438,IN_0000099,IN
1991,487.892074,IN_0000099,IN
1992,456.6838989,IN_0000099,IN
1993,384.8768822,IN_0000099,IN
1994,628.6328137,IN_0000099,IN
1995,567.9336822,IN_0000099,IN
1996,459.9266831,IN_0000099,IN
1997,361.7975288,IN_0000099,IN
1998,429.3203233,IN_0000099,IN
1999,510.8795397,IN_0000099,IN
2000,519.1639098,IN_0000099,IN
2001,384.8534603,IN_0000099,IN
2002,246.1602219,IN_0000099,IN
2003,509.8405781,IN_0000099,IN
2004,497.9085492,IN_0000099,IN
2005,414.6899808,IN_0000099,IN
2006,741.9114767,IN_0000099,IN
2007,612.4774658,IN_0000099,IN
2008,448.6542158,IN_0000099,IN
2009,270.9139616,IN_0000099,IN
2010,563.9083534,IN_0000099,IN
2011,351.1092027,IN_0000099,IN
2012,521.2558005,IN_0000099,IN
1965,,IN_0000110,IN
1966,1063.283272,IN_0000110,IN
1967,1416.751333,IN_0000110,IN
1968,930.3184098,IN_0000110,IN
1969,1415.576244,IN_0000110,IN
1970,1481.845729,IN_0000110,IN
1971,992.593126,IN_0000110,IN
1972,376.9456858,IN_0000110,IN
1973,1261.547608,IN_0000110,IN
1974,1077.338756,IN_0000110,IN
1975,2317.887145,IN_0000110,IN
1976,1068.995628,IN_0000110,IN
1977,768.5335616,IN_0000110,IN
1978,1577.202425,IN_0000110,IN
1979,1100.658838,IN_0000110,IN
1980,1239.57388,IN_0000110,IN
1981,1236.526836,IN_0000110,IN
1982,614.8334164,IN_0000110,IN
1983,1339.101395,IN_0000110,IN
1984,505.6970109,IN_0000110,IN
1985,403.2937616,IN_0000110,IN
1986,345.7542137,IN_0000110,IN
1987,257.963011,IN_0000110,IN
1988,1098.560134,IN_0000110,IN
1989,685.6050959,IN_0000110,IN
1990,1142.980532,IN_0000110,IN
1991,1180.707227,IN_0000110,IN
1992,504.3092705,IN_0000110,IN
1993,784.567589,IN_0000110,IN
1994,1509.69663,IN_0000110,IN
1995,380.5810329,IN_0000110,IN
1996,572.2118005,IN_0000110,IN
1997,732.9095288,IN_0000110,IN
1998,1095.326677,IN_0000110,IN
1999,488.4704301,IN_0000110,IN
2000,327.9613552,IN_0000110,IN
2001,239.997405,IN_0000110,IN
2002,189.0619068,IN_0000110,IN
2003,75.04442466,IN_0000110,IN
2004,131.3936612,IN_0000110,IN
2005,1154.338312,IN_0000110,IN
2006,1123.695085,IN_0000110,IN
2007,1210.169816,IN_0000110,IN
2008,493.6884536,IN_0000110,IN
2009,791.6455233,IN_0000110,IN
2010,557.4447014,IN_0000110,IN
2011,476.302926,IN_0000110,IN
2012,,IN_0000110,IN
1965,,IN_0000117,IN
1966,131.4570137,IN_0000117,IN
1967,187.971726,IN_0000117,IN
1968,122.9708197,IN_0000117,IN
1969,220.3683836,IN_0000117,IN
1970,168.8260274,IN_0000117,IN
1971,136.5975342,IN_0000117,IN
1972,78.82551913,IN_0000117,IN
1973,157.770137,IN_0000117,IN
1974,109.0306849,IN_0000117,IN
1975,167.4983562,IN_0000117,IN
1976,220.9112022,IN_0000117,IN
1977,147.9578082,IN_0000117,IN
1978,164.5490411,IN_0000117,IN
1979,152.9767123,IN_0000117,IN
1980,171.5128415,IN_0000117,IN
1981,122.1616438,IN_0000117,IN
1982,88.10356164,IN_0000117,IN
1983,113.4512329,IN_0000117,IN
1984,112.0601093,IN_0000117,IN
1985,88.15835616,IN_0000117,IN
