ID,mu,sigma
BD_0000001,9.90302157989351,0.12678284061771
CN_0000181,6.57963499733007,0.686907043489229
CN_0000189,743.191572808163,193.098476380732
CN_0000190,9.31116196267539,0.12100928076411
CN_0000194,1547.84007199672,302.702158040303
ID_0000024,5.16696207426161,0.20531629411873
IN_0000074,112.603726068085,43.3218604405949
IN_0000117,4.90821655655957,0.409261894184972
JP_0000367,5.34521120136785,0.135743113189795
JP_0000446,4.52806176501047,0.231835095655381
JP_0000759,3.92533675932379,0.219304477205203
JP_0000996,4.45099551150589,0.235402786952223
JP_0001014,4.63312486254698,0.272110223537953
JP_0001023,4.06990107687431,0.296330244513622
KG_0000005,5.89081732107,0.25820214953615
KH_0000002,14436.7625921429,2196.68347503168
KZ_0000002,5.65764930723489,0.296816822941451
LA_0000001,96.7565767011628,28.8375033473164
LA_0000002,8.2566687292988,0.155745904162162
LA_0000005,8.39575400523547,0.152110020655313
LA_0000014,9871.33528921277,1500.74612106405
MN_0000002,3.83247045841756,0.399016717731311
PH_0000006,4.11356395781423,0.279484240568482
RU_0000036,8.98722959068675,0.248487967235746
RU_0000043,945.983145584375,215.246935096049
RU_0000054,1053.53118506604,137.17115035038
RU_0000397,261.978841174603,38.8239034285128
RU_0000398,4.81643685853455,0.228519441669178
RU_0000400,108.271150314706,32.8033363045775
RU_0000401,95.4994707807812,35.0265560162138
RU_0000408,5.58610566249771,0.199226296824217
RU_0000411,6.61392479070702,0.156789715194948
TH_0000003,4.46013527892825,0.35979492977092
TH_0000041,3.97463992296178,0.389791824122755
TH_0000134,7.88632575509495,0.143524602807571
TH_0000156,8.94665130080806,0.163513208835448
TH_0000163,639.793907029546,249.190124850159
TH_0000178,728.6717674125,230.335089789906
TJ_0000003,324.22931192,46.1589986031187
CN_0000180,10.2577507198652,0.136731116622702
CN_0000191,10.019661062593,0.118251313126515
CN_0000192,9.91500311459549,0.107627570928409
CN_0000195,9.55354005350249,0.105489264220862
PK_0000001,6.96622389731283,0.16725596309728
KR_0000006,4.20789627680389,0.310395242795274
TH_0000154,8.89199871494918,0.201578281573411
KH_0000004,9.46567107261844,0.169664148223904
IN_0000075,80.4955392608511,39.8715380562705
