ID,R2,RE,CE,KGE
BD_0000001,0.590433060085185,0.517619346009903,0.299987284056271,0.470340849286617
CN_0000180,0.55711720926019,0.471164866121789,0.449105888964144,0.612711424557561
CN_0000181,0.546283222907355,0.439050592038405,0.405900160228978,0.576120224334966
CN_0000189,0.480065931993773,0.378749367059451,0.304576208505173,0.51498949886539
CN_0000190,0.285812151677275,0.205348858595179,0.131326863075126,0.247836838629152
CN_0000191,0.477566909627417,0.380544648994895,0.35704371035999,0.49195199922772
CN_0000192,0.477734713845324,0.406818744898261,0.374489030922278,0.534686514146889
CN_0000194,0.583597565944189,0.603584377872339,0.572468867442117,0.640559467360736
CN_0000195,0.336749930582325,0.231325726865518,0.128432785649338,0.309198720001952
ID_0000024,0.326389651864363,0.185006238801639,0.118332350147956,0.39492363213394
IN_0000028,0.597210340378996,0.452254022426529,0.399576593393194,0.545577961501678
IN_0000036,0.461840983520223,0.461425012292093,0.384276643736668,0.467187255925285
IN_0000061,0.611860333957299,0.581994547079554,0.528219566544837,0.680672764259518
IN_0000067,0.391909143499818,0.273963794589628,0.23572830743748,0.408629039888159
IN_0000071,0.472067324720723,0.359513081276595,0.348553118291637,0.460348832484434
IN_0000073,0.61803511006117,0.422444104877261,0.395091917670151,0.577819617222451
IN_0000074,0.66838782518097,0.524177457512595,0.203686153194121,0.461008685947129
IN_0000082,0.244173853525616,0.135231920738515,0.0720961738275575,0.218768996715755
IN_0000098,0.6255206968268,0.558381725363019,0.531251512988989,0.59723948996533
IN_0000099,0.449279745851623,0.387994021001878,0.351921041959274,0.525351606002766
IN_0000117,0.703173128607429,0.601505455004609,0.596110404176381,0.567999122950913
IN_0000169,0.439716546215835,0.357219412858835,0.286793758577249,0.340469230690093
IN_0000176,0.244059006963918,0.261617525881453,0.0364533282088438,0.288067198971897
IN_0000234,0.469246072941324,0.46787921339391,0.444525754720431,0.412773391980091
IN_0000243,0.602381755197509,0.317540465002359,0.20414412014544,0.410888054211664
IN_0000253,0.590033812380965,0.425748050688561,0.363956596051872,0.486560210698108
IN_0000315,0.61259128782125,0.695863169252229,0.619691321255381,0.65458897316914
JP_0000367,0.350255047239401,0.308424930198493,0.204193549639302,0.308999111224173
JP_0000446,0.326485751116705,0.327936338383897,0.199829455060463,0.460791413576276
JP_0000759,0.452296727115819,0.461866986798872,0.412092014877353,0.524157677247255
JP_0000996,0.511906537608915,0.309042931200624,0.274813531096581,0.445290368382258
JP_0001014,0.565642861674588,0.240357979808618,0.189332590373233,0.413587508530495
JP_0001023,0.365435016141705,0.257687287467014,0.200486443242521,0.271244641600517
KG_0000005,0.699145226045218,0.27449143556698,0.141108678430146,0.403653543189379
KH_0000002,0.545386777646151,0.511191902244796,0.458439931727182,0.540741029513207
KH_0000004,0.595883925979061,0.674103966060812,0.599007857141252,0.585113159350068
KR_0000006,0.591542460425426,0.511320227837084,0.489487552100118,0.625536763611261
KZ_0000002,0.394976557802403,0.530641731820235,0.367730011694016,0.552202520758591
LA_0000001,0.432589932782081,0.375092126131717,0.298823730929697,0.454121313485594
LA_0000002,0.344951261134468,0.464827882695079,0.35991528769679,0.489041027784621
LA_0000005,0.509384867055362,0.626858985061637,0.56056075728953,0.594105698000624
LA_0000014,0.495838507639509,0.498397446454467,0.454702585931427,0.532301292307158
MN_0000002,0.621137459974096,0.605602664186852,0.525763864105902,0.529359400554941
PH_0000006,0.451169387501322,0.438813208766532,0.321337374476906,0.414060115714598
PK_0000001,0.709075460293368,0.320056693211221,-0.0605340256585721,0.449351305646746
RU_0000036,0.506890968325393,0.599764605505249,0.376046366951076,0.548324294047784
RU_0000043,0.694604234086547,0.542601697314171,0.470276764581616,0.643695830985086
RU_0000054,0.617707777697247,0.477428277057876,0.454994537434667,0.586000867140824
RU_0000397,0.461186176368903,0.345470281837617,0.319541996331945,0.55392086880803
RU_0000398,0.410112537902979,0.394862812771505,0.30099655017514,0.482108545340797
RU_0000400,0.49401214593768,0.561827622103684,0.414384314209722,0.571605403141068
RU_0000401,0.451344165886318,0.429790882072778,0.325888004891201,0.52233063123217
RU_0000408,0.403638957489187,0.350652416788218,0.3271452630577,0.466225181912906
RU_0000411,0.297667597277983,0.236873947708051,0.154874739372744,0.332222564176455
TH_0000003,0.501947438923815,0.413267381878674,0.303427556503755,0.422077811545421
TH_0000041,0.659105007356929,0.600968242501939,0.366057395969761,0.58355250253944
TH_0000134,0.526548007489413,0.405536540470453,0.242880709618238,0.452757519409812
TH_0000154,0.697187451976187,0.633836932170916,0.425733949848239,0.660560796250383
TH_0000156,0.504581492424077,0.644080315557969,0.530658423103511,0.598847600050625
TH_0000163,0.561997199593059,0.304294791583,0.0842712379021637,0.395120002025767
TH_0000178,0.587721666552694,0.417658602166017,0.357400613086565,0.539332640468725
TJ_0000003,0.230804210236679,0.220318033582993,0.17616717376989,0.314156024750973
